thresh,video,frame,x,y,w,h,class
0.200000,videoplayback_001_2.webm,22,227,174,29,29,signalAhead
0.200000,videoplayback_001_2.webm,22,676,140,27,46,rampSpeedAdvisory50
0.200000,videoplayback_001_2.webm,23,228,174,24,30,signalAhead
0.200000,videoplayback_001_2.webm,24,227,172,23,33,signalAhead
0.200000,videoplayback_001_2.webm,25,225,173,24,32,signalAhead
0.200000,videoplayback_001_2.webm,26,222,171,25,34,signalAhead
0.200000,videoplayback_001_2.webm,27,222,169,24,34,signalAhead
0.200000,videoplayback_001_2.webm,28,219,169,28,33,signalAhead
0.200000,videoplayback_001_2.webm,29,215,168,32,32,pedestrianCrossing
0.200000,videoplayback_001_2.webm,30,213,165,31,38,signalAhead
0.200000,videoplayback_001_2.webm,31,209,166,32,34,signalAhead
0.200000,videoplayback_001_2.webm,32,207,167,31,32,signalAhead
0.200000,videoplayback_001_2.webm,33,204,164,31,34,signalAhead
0.200000,videoplayback_001_2.webm,34,201,161,33,37,pedestrianCrossing
0.200000,videoplayback_001_2.webm,35,197,160,35,35,pedestrianCrossing
0.200000,videoplayback_001_2.webm,36,193,158,35,36,pedestrianCrossing
0.200000,videoplayback_001_2.webm,37,191,157,36,37,pedestrianCrossing
0.200000,videoplayback_001_2.webm,38,188,154,38,39,pedestrianCrossing
0.200000,videoplayback_001_2.webm,39,184,153,38,39,pedestrianCrossing
0.200000,videoplayback_001_2.webm,40,183,153,37,35,pedestrianCrossing
0.200000,videoplayback_001_2.webm,41,178,152,37,34,pedestrianCrossing
0.200000,videoplayback_001_2.webm,42,171,151,38,33,pedestrianCrossing
0.200000,videoplayback_001_2.webm,43,164,147,40,37,pedestrianCrossing
0.200000,videoplayback_001_2.webm,44,155,146,48,38,pedestrianCrossing
0.200000,videoplayback_001_2.webm,45,148,146,42,36,pedestrianCrossing
0.200000,videoplayback_001_2.webm,46,139,143,48,39,pedestrianCrossing
