"","thresh","video","frame","x","y","w","h","class","fog","overlap"
"2321",0.4,"videoplayback_002_1.webm",67,260,234,19,26,"signalAhead",0,TRUE
"2322",0.4,"videoplayback_002_1.webm",68,85,133,73,86,"pedestrianCrossing",0,FALSE
"2323",0.4,"videoplayback_002_1.webm",68,258,232,21,27,"signalAhead",0,TRUE
"2324",0.4,"videoplayback_002_1.webm",69,67,125,79,92,"pedestrianCrossing",0,FALSE
"2325",0.4,"videoplayback_002_1.webm",69,256,229,21,29,"signalAhead",0,TRUE
"2326",0.4,"videoplayback_002_1.webm",70,47,116,84,98,"slow",0,FALSE
"2327",0.4,"videoplayback_002_1.webm",70,252,227,23,35,"turnLeft",0,TRUE
"2328",0.4,"videoplayback_002_1.webm",71,249,227,26,37,"stopAhead",0,FALSE
"2329",0.4,"videoplayback_002_1.webm",72,-2,59,108,127,"signalAhead",0,FALSE
"2330",0.4,"videoplayback_002_1.webm",72,245,228,29,34,"turnRight",0,TRUE
"2331",0.4,"videoplayback_002_1.webm",73,241,226,29,32,"turnRight",0,FALSE
"2332",0.4,"videoplayback_002_1.webm",74,238,223,31,36,"turnRight",0,FALSE
"2333",0.4,"videoplayback_002_1.webm",75,235,219,33,38,"turnRight",0,FALSE
"2334",0.4,"videoplayback_002_1.webm",76,230,218,38,38,"turnRight",0,FALSE
"2335",0.4,"videoplayback_002_1.webm",77,229,214,37,43,"turnRight",0,FALSE
"2336",0.4,"videoplayback_002_1.webm",78,226,212,38,45,"turnLeft",0,FALSE
"2337",0.4,"videoplayback_002_1.webm",79,224,210,38,45,"turnLeft",0,FALSE
"2338",0.4,"videoplayback_002_1.webm",80,222,209,32,42,"turnRight",0,FALSE
"2339",0.4,"videoplayback_002_1.webm",81,220,207,31,43,"turnRight",0,FALSE
"2340",0.4,"videoplayback_002_1.webm",82,216,202,32,44,"pedestrianCrossing",0,FALSE
"2341",0.4,"videoplayback_002_1.webm",83,207,199,35,45,"turnRight",0,FALSE
"2342",0.4,"videoplayback_002_1.webm",84,204,196,34,44,"turnRight",0,FALSE
"2343",0.4,"videoplayback_002_1.webm",85,199,192,36,47,"turnRight",0,FALSE
"2344",0.4,"videoplayback_002_1.webm",86,193,185,39,52,"turnRight",0,FALSE
"2345",0.4,"videoplayback_002_1.webm",88,169,174,46,54,"turnRight",0,FALSE
"2346",0.4,"videoplayback_002_2.webm",31,252,204,20,32,"stop",0,FALSE
"2347",0.4,"videoplayback_002_2.webm",32,243,204,23,33,"rightLaneMustTurn",0,FALSE
"2348",0.4,"videoplayback_002_2.webm",33,234,198,25,36,"rightLaneMustTurn",0,FALSE
"2349",0.4,"videoplayback_002_2.webm",34,226,191,28,39,"rightLaneMustTurn",0,FALSE
"2350",0.4,"videoplayback_002_2.webm",35,218,187,31,39,"stop",0,FALSE
"2351",0.4,"videoplayback_002_2.webm",36,208,181,29,42,"stop",0,FALSE
"2352",0.4,"videoplayback_002_2.webm",37,198,174,33,44,"stop",0,FALSE
"2353",0.4,"videoplayback_002_2.webm",38,184,166,37,48,"stop",0,FALSE
"2354",0.4,"videoplayback_002_2.webm",39,169,158,33,45,"stop",0,FALSE
"2355",0.4,"videoplayback_002_2.webm",40,154,148,34,50,"noRightTurn",0,FALSE
"2356",0.4,"videoplayback_002_2.webm",41,135,133,39,57,"rightLaneMustTurn",0,FALSE
"2357",0.4,"videoplayback_002_2.webm",42,110,117,43,61,"stop",0,FALSE
"2358",0.4,"videoplayback_002_2.webm",43,73,101,55,59,"stop",0,FALSE
"2359",0.4,"videoplayback_002_2.webm",44,42,78,48,62,"noLeftTurn",0,TRUE
"2360",0.4,"videoplayback_002_2.webm",44,31,64,71,93,"stop",0,TRUE
"2361",0.4,"videoplayback_002_2.webm",70,326,249,17,26,"signalAhead",0,FALSE
"2362",0.4,"videoplayback_002_2.webm",71,326,246,18,30,"signalAhead",0,FALSE
"2363",0.4,"videoplayback_002_2.webm",72,324,246,20,28,"signalAhead",0,FALSE
"2364",0.4,"videoplayback_002_2.webm",73,322,246,22,30,"signalAhead",0,FALSE
"2365",0.4,"videoplayback_002_2.webm",74,321,243,23,35,"signalAhead",0,FALSE
"2366",0.4,"videoplayback_002_2.webm",75,319,245,25,30,"signalAhead",0,FALSE
"2367",0.4,"videoplayback_002_2.webm",76,318,245,25,29,"signalAhead",0,FALSE
"2368",0.4,"videoplayback_002_2.webm",77,316,244,26,30,"signalAhead",0,FALSE
"2369",0.4,"videoplayback_002_2.webm",78,316,241,26,37,"signalAhead",0,FALSE
"2370",0.4,"videoplayback_002_2.webm",79,315,243,26,31,"signalAhead",0,FALSE
"2371",0.4,"videoplayback_002_2.webm",80,313,242,26,30,"pedestrianCrossing",0,FALSE
"2372",0.4,"videoplayback_002_2.webm",81,312,242,27,30,"signalAhead",0,FALSE
"2373",0.4,"videoplayback_002_2.webm",82,311,241,27,32,"signalAhead",0,FALSE
"2374",0.4,"videoplayback_002_2.webm",83,308,239,28,33,"pedestrianCrossing",0,FALSE
"2375",0.4,"videoplayback_002_2.webm",84,307,238,28,34,"pedestrianCrossing",0,FALSE
"2376",0.4,"videoplayback_002_2.webm",85,304,237,28,34,"pedestrianCrossing",0,FALSE
"2377",0.4,"videoplayback_002_2.webm",86,304,236,26,34,"pedestrianCrossing",0,FALSE
"2378",0.4,"videoplayback_002_2.webm",87,302,237,26,31,"pedestrianCrossing",0,FALSE
"2379",0.4,"videoplayback_002_2.webm",88,300,234,26,34,"pedestrianCrossing",0,FALSE
"2380",0.4,"videoplayback_002_2.webm",89,296,235,28,31,"pedestrianCrossing",0,FALSE
"2381",0.4,"videoplayback_002_2.webm",90,292,232,32,36,"pedestrianCrossing",0,FALSE
"2382",0.4,"videoplayback_002_2.webm",91,288,229,30,40,"pedestrianCrossing",0,FALSE
"2383",0.4,"videoplayback_002_2.webm",92,290,228,28,37,"signalAhead",0,FALSE
"2384",0.4,"videoplayback_002_2.webm",93,281,224,34,41,"signalAhead",0,FALSE
