"","thresh","video","frame","x","y","w","h","class","overlap"
"307",0.2,"videoplayback_001_1.webm",164,327,186,13,16,"stop",TRUE
"308",0.2,"videoplayback_001_1.webm",165,323,186,13,16,"signalAhead",TRUE
"309",0.2,"videoplayback_001_1.webm",165,329,186,14,16,"stop",TRUE
"310",0.2,"videoplayback_001_1.webm",166,324,186,13,16,"stop",TRUE
"311",0.2,"videoplayback_001_1.webm",166,330,186,13,16,"speedLimit35",TRUE
"312",0.2,"videoplayback_001_1.webm",167,326,187,13,16,"stop",TRUE
"313",0.2,"videoplayback_001_1.webm",167,332,186,14,17,"signalAhead",TRUE
"314",0.2,"videoplayback_001_1.webm",168,328,187,12,15,"stop",TRUE
"315",0.2,"videoplayback_001_1.webm",168,335,187,14,16,"signalAhead",TRUE
"316",0.2,"videoplayback_001_1.webm",169,328,187,12,16,"speedLimit35",TRUE
"317",0.2,"videoplayback_001_1.webm",169,335,186,14,17,"speedLimit35",TRUE
"318",0.2,"videoplayback_001_1.webm",170,331,188,11,16,"speedLimit35",TRUE
"319",0.2,"videoplayback_001_1.webm",170,338,187,12,18,"signalAhead",TRUE
"320",0.2,"videoplayback_001_2.webm",1,226,166,16,17,"school",TRUE
"321",0.2,"videoplayback_001_2.webm",1,236,165,22,19,"school",TRUE
"322",0.2,"videoplayback_001_2.webm",2,164,147,12,25,"speedLimit50",TRUE
